"","city","year","tax_type","tax_rate"
"1","Apache Junction",2024,"Advertising",2.4
"2","Apache Junction",2024,"Amusements",2.4
"3","Apache Junction",2024,"Commercial Rental",2.2
"4","Apache Junction",2024,"Contracting-Owner Builder",2.4
"5","Apache Junction",2024,"Contracting-Prime",2.4
"6","Apache Junction",2024,"Contracting-Speculative Builders",2.4
"7","Apache Junction",2024,"Feed at Wholesale",2.4
"8","Apache Junction",2024,"Food for Home Consumption",2.4
"9","Apache Junction",2024,"Hotel/Motel Additional",2.4
"10","Apache Junction",2024,"Hotels",2.4
"11","Apache Junction",2024,"Job Printing",2.4
"12","Apache Junction",2024,"Manufactured Buildings",2.4
"13","Apache Junction",2024,"Publication",2.4
"14","Apache Junction",2024,"Rental Occupancy",2.2
"15","Apache Junction",2024,"Residential Rental",2.2
"16","Apache Junction",2024,"Restaurant and Bars",2.4
"17","Apache Junction",2024,"Retail Sales",2.4
"18","Apache Junction",2024,"Retail Sales Over $2000",1.4
"19","Apache Junction",2024,"TPP Rental",2.4
"20","Avondale",2024,"Advertising",2.5
"21","Avondale",2024,"Amusements",2.5
"22","Avondale",2024,"Commercial Rental",2.5
"23","Avondale",2024,"Contracting-Owner Builder",2.5
"24","Avondale",2024,"Contracting-Prime",2.5
"25","Avondale",2024,"Contracting-Speculative Builders",2.5
"26","Avondale",2024,"Food for Home Consumption",2.5
"27","Avondale",2024,"Hotel/Motel Additional",2
"28","Avondale",2024,"Hotels",2.5
"29","Avondale",2024,"Job Printing",2.5
"30","Avondale",2024,"Manufactured Buildings",2.5
"31","Avondale",2024,"Publication",2.5
"32","Avondale",2024,"Residential Rental",2.5
"33","Avondale",2024,"Restaurant and Bars",2.5
"34","Avondale",2024,"Retail Sales",2.5
"35","Avondale",2024,"Retail Sales Over $5000",1.5
"36","Avondale",2024,"TPP Rental",2.5
"37","Benson",2024,"Advertising",3.5
"38","Benson",2024,"Amusements",3.5
"39","Benson",2024,"Commercial Rental",2.5
"40","Benson",2024,"Contracting-Owner Builder",4
"41","Benson",2024,"Contracting-Prime",4
"42","Benson",2024,"Contracting-Speculative Builders",4
"43","Benson",2024,"Food for Home Consumption",3.5
"44","Benson",2024,"Hotel/Motel Additional",2
"45","Benson",2024,"Hotels",3.5
"46","Benson",2024,"Job Printing",3.5
"47","Benson",2024,"Manufactured Buildings",3.5
"48","Benson",2024,"Publication",3.5
"49","Benson",2024,"Residential Rental",2.5
"50","Benson",2024,"Restaurant and Bars",3.5
"51","Benson",2024,"Retail Sales",3.5
"52","Benson",2024,"Retail Sales Over $5000",1
"53","Benson",2024,"TPP Rental",2.5
"54","Bisbee",2024,"Advertising",3.5
"55","Bisbee",2024,"Amusements",3.5
"56","Bisbee",2024,"Commercial Rental",3.5
"57","Bisbee",2024,"Contracting-Owner Builder",3.5
"58","Bisbee",2024,"Contracting-Prime",3.5
"59","Bisbee",2024,"Contracting-Speculative Builders",3.5
"60","Bisbee",2024,"Hotel/Motel Additional",5
"61","Bisbee",2024,"Hotels",3.5
"62","Bisbee",2024,"Job Printing",3.5
"63","Bisbee",2024,"Manufactured Buildings",3.5
"64","Bisbee",2024,"Publication",3.5
"65","Bisbee",2024,"Residential Rental",3.5
"66","Bisbee",2024,"Restaurant and Bars",3.5
"67","Bisbee",2024,"TPP Rental",3.5
"68","Buckeye",2024,"Advertising",3
"69","Buckeye",2024,"Amusements",3
"70","Buckeye",2024,"Commercial Rental",2
"71","Buckeye",2024,"Contracting-Owner Builder",3
"72","Buckeye",2024,"Contracting-Prime",3
"73","Buckeye",2024,"Contracting-Speculative Builders",3
"74","Buckeye",2024,"Feed at Wholesale",3
"75","Buckeye",2024,"Food for Home Consumption",3
"76","Buckeye",2024,"Hotel/Motel Additional",3
"77","Buckeye",2024,"Hotels",3
"78","Buckeye",2024,"Job Printing",3
"79","Buckeye",2024,"Manufactured Buildings",3
"80","Buckeye",2024,"Publication",3
"81","Buckeye",2024,"Rental Occupancy",2
"82","Buckeye",2024,"Residential Rental",2
"83","Buckeye",2024,"Restaurant and Bars",3
"84","Buckeye",2024,"Retail Sales",3
"85","Buckeye",2024,"TPP Rental",3
"86","Bullhead City",2024,"Advertising",2
"87","Bullhead City",2024,"Amusements",2
"88","Bullhead City",2024,"Commercial Rental",2
"89","Bullhead City",2024,"Contracting-Owner Builder",2
"90","Bullhead City",2024,"Contracting-Prime",2
"91","Bullhead City",2024,"Contracting-Speculative Builders",2
"92","Bullhead City",2024,"Hotel/Motel Additional",3
"93","Bullhead City",2024,"Hotels",2
"94","Bullhead City",2024,"Job Printing",2
"95","Bullhead City",2024,"Manufactured Buildings",2
"96","Bullhead City",2024,"Publication",2
"97","Bullhead City",2024,"Restaurant and Bars",2
"98","Bullhead City",2024,"TPP Rental",2
"99","Camp Verde",2024,"Advertising",3.65
"100","Camp Verde",2024,"Amusements",3.65
"101","Camp Verde",2024,"Commercial Rental",2
"102","Camp Verde",2024,"Contracting-Owner Builder",3.65
"103","Camp Verde",2024,"Contracting-Prime",3.65
"104","Camp Verde",2024,"Contracting-Speculative Builders",3.65
"105","Camp Verde",2024,"Hotel/Motel Additional",3
"106","Camp Verde",2024,"Hotels",3.65
"107","Camp Verde",2024,"Job Printing",3.65
"108","Camp Verde",2024,"Manufactured Buildings",3.65
"109","Camp Verde",2024,"Publication",3.65
"110","Camp Verde",2024,"Residential Rental",2
"111","Camp Verde",2024,"Restaurant and Bars",3.65
"112","Camp Verde",2024,"Retail Sales",3.65
"113","Camp Verde",2024,"TPP Rental",3.65
"114","Carefree",2024,"Advertising",3
"115","Carefree",2024,"Amusements",3
"116","Carefree",2024,"Commercial Rental",3
"117","Carefree",2024,"Contracting-Owner Builder",4
"118","Carefree",2024,"Contracting-Prime",4
"119","Carefree",2024,"Contracting-Speculative Builders",4
"120","Carefree",2024,"Hotel/Motel Additional",3
"121","Carefree",2024,"Hotels",3
"122","Carefree",2024,"Job Printing",3
"123","Carefree",2024,"Manufactured Buildings",3
"124","Carefree",2024,"Publication",3
"125","Carefree",2024,"Residential Rental",3
"126","Carefree",2024,"Restaurant and Bars",3
"127","Carefree",2024,"TPP Rental",3
"128","Casa Grande",2024,"Advertising",1.8
"129","Casa Grande",2024,"Amusements",1.8
"130","Casa Grande",2024,"Commercial Rental",1.8
"131","Casa Grande",2024,"Contracting-Owner Builder",4
"132","Casa Grande",2024,"Contracting-Prime",4
"133","Casa Grande",2024,"Contracting-Speculative Builders",4
"134","Casa Grande",2024,"Food for Home Consumption",2
"135","Casa Grande",2024,"Hotel/Motel Additional",5
"136","Casa Grande",2024,"Hotels",1.8
"137","Casa Grande",2024,"Job Printing",1.8
"138","Casa Grande",2024,"Manufactured Buildings",1.8
"139","Casa Grande",2024,"Publication",1.8
"140","Casa Grande",2024,"Residential Rental",1.8
"141","Casa Grande",2024,"Restaurant and Bars",1.8
"142","Casa Grande",2024,"Retail Sales",2
"143","Casa Grande",2024,"TPP Rental",1.8
"144","Cave Creek",2024,"Advertising",3
"145","Cave Creek",2024,"Amusements",3
"146","Cave Creek",2024,"Commercial Rental",3
"147","Cave Creek",2024,"Contracting-Owner Builder",5
"148","Cave Creek",2024,"Contracting-Prime",5
"149","Cave Creek",2024,"Contracting-Speculative Builders",5
"150","Cave Creek",2024,"Feed at Wholesale",3
"151","Cave Creek",2024,"Hotel/Motel Additional",4
"152","Cave Creek",2024,"Hotels",3
"153","Cave Creek",2024,"Job Printing",3
"154","Cave Creek",2024,"Manufactured Buildings",3
"155","Cave Creek",2024,"Publication",3
"156","Cave Creek",2024,"Rental Occupancy",3
"157","Cave Creek",2024,"Residential Rental",3
"158","Cave Creek",2024,"Restaurant and Bars",3
"159","Cave Creek",2024,"TPP Rental",3
"160","Chandler",2024,"Advertising",1.5
"161","Chandler",2024,"Amusements",1.5
"162","Chandler",2024,"Commercial Rental",1.5
"163","Chandler",2024,"Contracting-Owner Builder",1.5
"164","Chandler",2024,"Contracting-Prime",1.5
"165","Chandler",2024,"Contracting-Speculative Builders",1.5
"166","Chandler",2024,"Food for Home Consumption",1.5
"167","Chandler",2024,"Hotel/Motel Additional",2.9
"168","Chandler",2024,"Hotels",1.5
"169","Chandler",2024,"Jet Fuel",0.023
"170","Chandler",2024,"Job Printing",1.5
"171","Chandler",2024,"Manufactured Buildings",1.5
"172","Chandler",2024,"Publication",1.5
"173","Chandler",2024,"Residential Rental",1.5
"174","Chandler",2024,"Restaurant and Bars",1.8
"175","Chandler",2024,"Retail Sales",1.5
"176","Chandler",2024,"TPP Rental",1.5
"177","Chino Valley",2024,"Advertising",4
"178","Chino Valley",2024,"Amusements",4
"179","Chino Valley",2024,"Commercial Rental",3
"180","Chino Valley",2024,"Contracting-Owner Builder",4
"181","Chino Valley",2024,"Contracting-Prime",4
"182","Chino Valley",2024,"Contracting-Speculative Builders",4
"183","Chino Valley",2024,"Hotel/Motel Additional",4
"184","Chino Valley",2024,"Hotels",4
"185","Chino Valley",2024,"Jet Fuel",0.015
"186","Chino Valley",2024,"Job Printing",4
"187","Chino Valley",2024,"Manufactured Buildings",2
"188","Chino Valley",2024,"Publication",4
"189","Chino Valley",2024,"Rental Occupancy",3
"190","Chino Valley",2024,"Residential Rental",3
"191","Chino Valley",2024,"Restaurant and Bars",4
"192","Chino Valley",2024,"Retail Sales",4
"193","Chino Valley",2024,"TPP Rental",4
"194","Clarkdale",2024,"Advertising",3.5
"195","Clarkdale",2024,"Amusements",3.5
"196","Clarkdale",2024,"Commercial Rental",3
"197","Clarkdale",2024,"Contracting-Owner Builder",4.5
"198","Clarkdale",2024,"Contracting-Prime",4.5
"199","Clarkdale",2024,"Contracting-Speculative Builders",4.5
"200","Clarkdale",2024,"Hotel/Motel Additional",2
"201","Clarkdale",2024,"Hotels",3.5
"202","Clarkdale",2024,"Job Printing",3.5
"203","Clarkdale",2024,"Manufactured Buildings",3.5
"204","Clarkdale",2024,"Publication",3.5
"205","Clarkdale",2024,"Residential Rental",3
"206","Clarkdale",2024,"Restaurant and Bars",3.5
"207","Clarkdale",2024,"TPP Rental",3.5
"208","Clifton",2024,"Advertising",3
"209","Clifton",2024,"Amusements",3
"210","Clifton",2024,"Commercial Rental",3
"211","Clifton",2024,"Contracting-Owner Builder",3
"212","Clifton",2024,"Contracting-Prime",3
"213","Clifton",2024,"Contracting-Speculative Builders",3
"214","Clifton",2024,"Hotels",3
"215","Clifton",2024,"Job Printing",3
"216","Clifton",2024,"Manufactured Buildings",3
"217","Clifton",2024,"Publication",3
"218","Clifton",2024,"Residential Rental",3
"219","Clifton",2024,"Restaurant and Bars",3
"220","Clifton",2024,"Retail Sales",3
"221","Clifton",2024,"TPP Rental",3
"222","Colorado City",2024,"Advertising",3
"223","Colorado City",2024,"Amusements",7
"224","Colorado City",2024,"Commercial Rental",2
"225","Colorado City",2024,"Contracting-Owner Builder",2
"226","Colorado City",2024,"Contracting-Prime",2
"227","Colorado City",2024,"Contracting-Speculative Builders",2
"228","Colorado City",2024,"Hotel/Motel Additional",7
"229","Colorado City",2024,"Hotels",7
"230","Colorado City",2024,"Job Printing",2
"231","Colorado City",2024,"Manufactured Buildings",2
"232","Colorado City",2024,"Publication",2
"233","Colorado City",2024,"Residential Rental",2
"234","Colorado City",2024,"Restaurant and Bars",3.5
"235","Colorado City",2024,"TPP Rental",2
"236","Coolidge",2024,"Advertising",3
"237","Coolidge",2024,"Amusements",3
"238","Coolidge",2024,"Commercial Rental",3
"239","Coolidge",2024,"Contracting-Owner Builder",4
"240","Coolidge",2024,"Contracting-Prime",4
"241","Coolidge",2024,"Contracting-Speculative Builders",4
"242","Coolidge",2024,"Feed at Wholesale",3
"243","Coolidge",2024,"Hotel/Motel Additional",3
"244","Coolidge",2024,"Hotels",3
"245","Coolidge",2024,"Job Printing",3
"246","Coolidge",2024,"Manufactured Buildings",3
"247","Coolidge",2024,"Publication",3
"248","Coolidge",2024,"Rental Occupancy",3
"249","Coolidge",2024,"Residential Rental",3
"250","Coolidge",2024,"Restaurant and Bars",3
"251","Coolidge",2024,"Retail Sales",3
"252","Coolidge",2024,"TPP Rental",3
"253","Cottonwood",2024,"Advertising",3.5
"254","Cottonwood",2024,"Amusements",3.5
"255","Cottonwood",2024,"Commercial Rental",3.5
"256","Cottonwood",2024,"Contracting-Owner Builder",4.5
"257","Cottonwood",2024,"Contracting-Prime",4.5
"258","Cottonwood",2024,"Contracting-Speculative Builders",4.5
"259","Cottonwood",2024,"Hotel/Motel Additional",3.5
"260","Cottonwood",2024,"Hotels",3.5
"261","Cottonwood",2024,"Job Printing",3.5
"262","Cottonwood",2024,"Manufactured Buildings",3.5
"263","Cottonwood",2024,"Publication",3.5
"264","Cottonwood",2024,"Rental Occupancy",3.5
"265","Cottonwood",2024,"Residential Rental",3
"266","Cottonwood",2024,"Restaurant and Bars",3.5
"267","Cottonwood",2024,"Retail Sales",3.5
"268","Cottonwood",2024,"TPP Rental",3.5
"269","Dewey-Humboldt",2024,"Advertising",2
"270","Dewey-Humboldt",2024,"Amusements",2
"271","Dewey-Humboldt",2024,"Commercial Rental",2
"272","Dewey-Humboldt",2024,"Contracting-Owner Builder",2
"273","Dewey-Humboldt",2024,"Contracting-Prime",2
"274","Dewey-Humboldt",2024,"Contracting-Speculative Builders",2
"275","Dewey-Humboldt",2024,"Hotel/Motel Additional",2
"276","Dewey-Humboldt",2024,"Hotels",2
"277","Dewey-Humboldt",2024,"Job Printing",2
"278","Dewey-Humboldt",2024,"Manufactured Buildings",2
"279","Dewey-Humboldt",2024,"Publication",2
"280","Dewey-Humboldt",2024,"Residential Rental",2
"281","Dewey-Humboldt",2024,"Restaurant and Bars",2
"282","Dewey-Humboldt",2024,"TPP Rental",2
"283","Douglas",2024,"Advertising",3.8
"284","Douglas",2024,"Amusements",3.8
"285","Douglas",2024,"Commercial Rental",2.8
"286","Douglas",2024,"Contracting-Owner Builder",3.8
"287","Douglas",2024,"Contracting-Prime",3.8
"288","Douglas",2024,"Contracting-Speculative Builders",3.8
"289","Douglas",2024,"Feed at Wholesale",3.8
"290","Douglas",2024,"Hotel/Motel Additional",4
"291","Douglas",2024,"Hotels",3.8
"292","Douglas",2024,"Job Printing",3.8
"293","Douglas",2024,"Manufactured Buildings",3.8
"294","Douglas",2024,"Publication",3.8
"295","Douglas",2024,"Rental Occupancy",2.8
"296","Douglas",2024,"Residential Rental",2.8
"297","Douglas",2024,"Restaurant and Bars",3.8
"298","Douglas",2024,"Retail Sales",3.8
"299","Douglas",2024,"TPP Rental",3.8
"300","Duncan",2024,"Advertising",2
"301","Duncan",2024,"Amusements",2
"302","Duncan",2024,"Commercial Rental",2
"303","Duncan",2024,"Contracting-Owner Builder",2
"304","Duncan",2024,"Contracting-Prime",2
"305","Duncan",2024,"Contracting-Speculative Builders",2
"306","Duncan",2024,"Hotel/Motel Additional",3
"307","Duncan",2024,"Hotels",2
"308","Duncan",2024,"Job Printing",2
"309","Duncan",2024,"Manufactured Buildings",2
"310","Duncan",2024,"Publication",2
"311","Duncan",2024,"Residential Rental",2
"312","Duncan",2024,"Restaurant and Bars",2
"313","Duncan",2024,"TPP Rental",2
"314","Eagar",2024,"Amusements",3
"315","Eagar",2024,"Commercial Rental",3
"316","Eagar",2024,"Contracting-Owner Builder",3
"317","Eagar",2024,"Contracting-Prime",3
"318","Eagar",2024,"Contracting-Speculative Builders",3
"319","Eagar",2024,"Hotel/Motel Additional",3
"320","Eagar",2024,"Hotels",3
"321","Eagar",2024,"Job Printing",3
"322","Eagar",2024,"Manufactured Buildings",3
"323","Eagar",2024,"Publication",3
"324","Eagar",2024,"Rental Occupancy",3
"325","Eagar",2024,"Residential Rental",3
"326","Eagar",2024,"Restaurant and Bars",3
"327","Eagar",2024,"Retail Sales",3
"328","Eagar",2024,"Retail Sales Over $1000",2
"329","Eagar",2024,"TPP Rental",3
"330","El Mirage",2024,"Advertising",3
"331","El Mirage",2024,"Amusements",3
"332","El Mirage",2024,"Commercial Rental",3
"333","El Mirage",2024,"Contracting-Owner Builder",3
"334","El Mirage",2024,"Contracting-Prime",3
"335","El Mirage",2024,"Contracting-Speculative Builders",3
"336","El Mirage",2024,"Hotel/Motel Additional",2
"337","El Mirage",2024,"Hotels",3
"338","El Mirage",2024,"Job Printing",3
"339","El Mirage",2024,"Manufactured Buildings",3
"340","El Mirage",2024,"Publication",3
"341","El Mirage",2024,"Residential Rental",3
"342","El Mirage",2024,"Restaurant and Bars",3
"343","El Mirage",2024,"TPP Rental",3
"344","Eloy",2024,"Advertising",3
"345","Eloy",2024,"Amusements",3
"346","Eloy",2024,"Commercial Rental",3
"347","Eloy",2024,"Contracting-Owner Builder",4.5
"348","Eloy",2024,"Contracting-Prime",4.5
"349","Eloy",2024,"Contracting-Speculative Builders",4.5
"350","Eloy",2024,"Hotel/Motel Additional",3
"351","Eloy",2024,"Hotels",4
"352","Eloy",2024,"Job Printing",3
"353","Eloy",2024,"Manufactured Buildings",3
"354","Eloy",2024,"Publication",3
"355","Eloy",2024,"Rental Occupancy",3
"356","Eloy",2024,"Residential Rental",3
"357","Eloy",2024,"Restaurant and Bars",5
"358","Eloy",2024,"Retail Sales",3
"359","Eloy",2024,"Retail Sales Over $6000",1.5
"360","Eloy",2024,"TPP Rental",3
"361","Flagstaff",2024,"Advertising",2.281
"362","Flagstaff",2024,"Amusements",2.281
"363","Flagstaff",2024,"Commercial Rental",2.281
"364","Flagstaff",2024,"Contracting-Owner Builder",2.281
"365","Flagstaff",2024,"Contracting-Prime",2.281
"366","Flagstaff",2024,"Contracting-Speculative Builders",2.281
"367","Flagstaff",2024,"Feed at Wholesale",2.281
"368","Flagstaff",2024,"Hotels",4.281
"369","Flagstaff",2024,"Job Printing",2.281
"370","Flagstaff",2024,"Manufactured Buildings",2.281
"371","Flagstaff",2024,"Publication",2.281
"372","Flagstaff",2024,"Restaurant and Bars",4.281
"373","Flagstaff",2024,"Retail Sales",2.281
"374","Flagstaff",2024,"TPP Rental",2.281
"375","Florence",2024,"Advertising",2
"376","Florence",2024,"Amusements",2
"377","Florence",2024,"Commercial Rental",2
"378","Florence",2024,"Contracting-Owner Builder",4
"379","Florence",2024,"Contracting-Prime",4
"380","Florence",2024,"Contracting-Speculative Builders",4
"381","Florence",2024,"Hotel/Motel Additional",2
"382","Florence",2024,"Hotels",2
"383","Florence",2024,"Job Printing",2
"384","Florence",2024,"Manufactured Buildings",2
"385","Florence",2024,"Publication",2
"386","Florence",2024,"Residential Rental",2
"387","Florence",2024,"Restaurant and Bars",2
"388","Florence",2024,"TPP Rental",2
"389","Fountain Hills",2024,"Advertising",2.9
"390","Fountain Hills",2024,"Amusements",2.9
"391","Fountain Hills",2024,"Commercial Lease Additional",1.3
"392","Fountain Hills",2024,"Commercial Rental",1.6
"393","Fountain Hills",2024,"Contracting-Owner Builder",2.9
"394","Fountain Hills",2024,"Contracting-Prime",2.9
"395","Fountain Hills",2024,"Contracting-Speculative Builders",2.9
"396","Fountain Hills",2024,"Hotel/Motel Additional",4
"397","Fountain Hills",2024,"Hotels",2.9
"398","Fountain Hills",2024,"Job Printing",2.9
"399","Fountain Hills",2024,"Manufactured Buildings",2.9
"400","Fountain Hills",2024,"Publication",2.9
"401","Fountain Hills",2024,"Residential Rental",1.6
"402","Fountain Hills",2024,"Restaurant and Bars",2.9
"403","Fountain Hills",2024,"Retail Sales",2.9
"404","Fountain Hills",2024,"TPP Rental",2.9
"405","Fredonia",2024,"Advertising",4
"406","Fredonia",2024,"Amusements",4
"407","Fredonia",2024,"Commercial Rental",4
"408","Fredonia",2024,"Contracting-Owner Builder",4
"409","Fredonia",2024,"Contracting-Prime",4
"410","Fredonia",2024,"Contracting-Speculative Builders",4
"411","Fredonia",2024,"Hotels",4
"412","Fredonia",2024,"Job Printing",4
"413","Fredonia",2024,"Manufactured Buildings",4
"414","Fredonia",2024,"Publication",4
"415","Fredonia",2024,"Residential Rental",4
"416","Fredonia",2024,"Restaurant and Bars",4
"417","Fredonia",2024,"Retail Sales",4
"418","Fredonia",2024,"TPP Rental",4
"419","Gila Bend",2024,"Amusements",3.5
"420","Gila Bend",2024,"Commercial Rental",3
"421","Gila Bend",2024,"Contracting-Owner Builder",3.5
"422","Gila Bend",2024,"Contracting-Prime",3.5
"423","Gila Bend",2024,"Contracting-Speculative Builders",3.5
"424","Gila Bend",2024,"Feed at Wholesale",3.5
"425","Gila Bend",2024,"Hotel/Motel Additional",2
"426","Gila Bend",2024,"Hotels",3.5
"427","Gila Bend",2024,"Jet Fuel",0.03
"428","Gila Bend",2024,"Job Printing",3.5
"429","Gila Bend",2024,"Manufactured Buildings",3.5
"430","Gila Bend",2024,"Publication",3.5
"431","Gila Bend",2024,"Residential Rental",3
"432","Gila Bend",2024,"Restaurant and Bars",3.5
"433","Gila Bend",2024,"Retail Sales",3.5
"434","Gila Bend",2024,"TPP Rental",3.5
"435","Gilbert",2024,"Advertising",1.5
"436","Gilbert",2024,"Amusements",1.5
"437","Gilbert",2024,"Commercial Rental",1.5
"438","Gilbert",2024,"Contracting-Owner Builder",1.5
"439","Gilbert",2024,"Contracting-Prime",1.5
"440","Gilbert",2024,"Contracting-Speculative Builders",1.5
"441","Gilbert",2024,"Hotel/Motel Additional",2.8
"442","Gilbert",2024,"Hotels",1.5
"443","Gilbert",2024,"Job Printing",1.5
"444","Gilbert",2024,"Manufactured Buildings",1.5
"445","Gilbert",2024,"Publication",1.5
"446","Gilbert",2024,"Residential Rental",1.5
"447","Gilbert",2024,"TPP Rental",1.5
"448","Glendale",2024,"Advertising",2.9
"449","Glendale",2024,"Amusements",2.9
"450","Glendale",2024,"Commercial Rental",2.9
"451","Glendale",2024,"Contracting-Owner Builder",2.9
"452","Glendale",2024,"Contracting-Prime",2.9
"453","Glendale",2024,"Contracting-Speculative Builders",2.9
